Department,Branch,Timeline,Semester,Subject,FullPath
B. E,ARTIFICIAL INTELLGENCE AND MACHINE LEARNING,SUMMER-2024,SEVENTH SEM,CUSTOMER RELATIONSHIP MANAGEMENT,/B. E/ARTIFICIAL INTELLGENCE AND MACHINE LEARNING/REGULAR/SUMMER-2024/SEVENTH SEM/CUSTOMER RELATIONSHIP MANAGEMENT.pdf
B. E,ARTIFICIAL INTELLGENCE AND MACHINE LEARNING,SUMMER-2024,THIRD SEM,CYBER LAWS AND ETHICS IN IT,/B. E/ARTIFICIAL INTELLGENCE AND MACHINE LEARNING/REGULAR/SUMMER-2024/THIRD SEM/CYBER LAWS AND ETHICS IN IT.pdf
B. E,ARTIFICIAL INTELLGENCE AND MACHINE LEARNING,SUMMER-2024,EIGHTH SEM,DATA ANALYTICS,/B. E/ARTIFICIAL INTELLGENCE AND MACHINE LEARNING/REGULAR/SUMMER-2024/EIGHTH SEM/DATA ANALYTICS.pdf
B. E,ARTIFICIAL INTELLGENCE AND MACHINE LEARNING,SUMMER-2024,SEVENTH SEM,DATA ANALYTICS AND VISUALIZATION,/B. E/ARTIFICIAL INTELLGENCE AND MACHINE LEARNING/REGULAR/SUMMER-2024/SEVENTH SEM/DATA ANALYTICS AND VISUALIZATION.pdf
B. E,ARTIFICIAL INTELLGENCE AND MACHINE LEARNING,SUMMER-2024,SIXTH SEM,DATA MINING AND WAREHOUSING,/B. E/ARTIFICIAL INTELLGENCE AND MACHINE LEARNING/REGULAR/SUMMER-2024/SIXTH SEM/DATA MINING AND WAREHOUSING.pdf
B. E,ARTIFICIAL INTELLGENCE AND MACHINE LEARNING,SUMMER-2024,THIRD SEM,DATA STRUCTURES  DATA STRUCTURE AND ALGORITHMS,/B. E/ARTIFICIAL INTELLGENCE AND MACHINE LEARNING/REGULAR/SUMMER-2024/THIRD SEM/DATA STRUCTURES  DATA STRUCTURE AND ALGORITHMS.pdf
B. E,ARTIFICIAL INTELLGENCE AND MACHINE LEARNING,SUMMER-2024,FIFTH SEM,DATABASE MANAGEMENT SYSTEMS,/B. E/ARTIFICIAL INTELLGENCE AND MACHINE LEARNING/REGULAR/SUMMER-2024/FIFTH SEM/DATABASE MANAGEMENT SYSTEMS.pdf
B. E,ARTIFICIAL INTELLGENCE AND MACHINE LEARNING,SUMMER-2024,SIXTH SEM,DEEP LEARNING,/B. E/ARTIFICIAL INTELLGENCE AND MACHINE LEARNING/REGULAR/SUMMER-2024/SIXTH SEM/DEEP LEARNING.pdf
B. E,ARTIFICIAL INTELLGENCE AND MACHINE LEARNING,SUMMER-2024,FOURTH SEM,DESIGN AND ANALYSIS OF ALGORITHMS,/B. E/ARTIFICIAL INTELLGENCE AND MACHINE LEARNING/REGULAR/SUMMER-2024/FOURTH SEM/DESIGN AND ANALYSIS OF ALGORITHMS.pdf
B. E,ARTIFICIAL INTELLGENCE AND MACHINE LEARNING,SUMMER-2024,EIGHTH SEM,EMBEDDED MACHINE LEARNING,/B. E/ARTIFICIAL INTELLGENCE AND MACHINE LEARNING/REGULAR/SUMMER-2024/EIGHTH SEM/EMBEDDED MACHINE LEARNING.pdf
B. E,ARTIFICIAL INTELLGENCE AND MACHINE LEARNING,SUMMER-2024,SIXTH SEM,FUNDAMENTALS OF DIGITAL IMAGE AND VIDEO PROCESSING,/B. E/ARTIFICIAL INTELLGENCE AND MACHINE LEARNING/REGULAR/SUMMER-2024/SIXTH SEM/FUNDAMENTALS OF DIGITAL IMAGE AND VIDEO PROCESSING.pdf
B. E,ARTIFICIAL INTELLGENCE AND MACHINE LEARNING,SUMMER-2024,EIGHTH SEM,HUMAN COMPUTER INTERACTION,/B. E/ARTIFICIAL INTELLGENCE AND MACHINE LEARNING/REGULAR/SUMMER-2024/EIGHTH SEM/HUMAN COMPUTER INTERACTION.pdf
B. E,ARTIFICIAL INTELLGENCE AND MACHINE LEARNING,SUMMER-2024,EIGHTH SEM,INTRODUCTION TO IOT,/B. E/ARTIFICIAL INTELLGENCE AND MACHINE LEARNING/REGULAR/SUMMER-2024/EIGHTH SEM/INTRODUCTION TO IOT.pdf
B. E,ARTIFICIAL INTELLGENCE AND MACHINE LEARNING,SUMMER-2024,FIFTH SEM,MACHINE LEARNING,/B. E/ARTIFICIAL INTELLGENCE AND MACHINE LEARNING/REGULAR/SUMMER-2024/FIFTH SEM/MACHINE LEARNING.pdf
B. E,ARTIFICIAL INTELLGENCE AND MACHINE LEARNING,SUMMER-2024,THIRD SEM,MATHEMATICS FOR MACHINE LEARNING,/B. E/ARTIFICIAL INTELLGENCE AND MACHINE LEARNING/REGULAR/SUMMER-2024/THIRD SEM/MATHEMATICS FOR MACHINE LEARNING.pdf
B. E,ARTIFICIAL INTELLGENCE AND MACHINE LEARNING,SUMMER-2024,FIFTH SEM,MICROCONTROLLER DESIGN,/B. E/ARTIFICIAL INTELLGENCE AND MACHINE LEARNING/REGULAR/SUMMER-2024/FIFTH SEM/MICROCONTROLLER DESIGN.pdf
B. E,ARTIFICIAL INTELLGENCE AND MACHINE LEARNING,SUMMER-2024,SIXTH SEM,NATURAL LANGUAGE PROCESSING,/B. E/ARTIFICIAL INTELLGENCE AND MACHINE LEARNING/REGULAR/SUMMER-2024/SIXTH SEM/NATURAL LANGUAGE PROCESSING.pdf
B. E,ARTIFICIAL INTELLGENCE AND MACHINE LEARNING,SUMMER-2024,THIRD SEM,OPERATING SYSTEM,/B. E/ARTIFICIAL INTELLGENCE AND MACHINE LEARNING/REGULAR/SUMMER-2024/THIRD SEM/OPERATING SYSTEM.pdf
B. E,ARTIFICIAL INTELLGENCE AND MACHINE LEARNING,SUMMER-2024,FOURTH SEM,THEORY OF COMPUTATION,/B. E/ARTIFICIAL INTELLGENCE AND MACHINE LEARNING/REGULAR/SUMMER-2024/FOURTH SEM/THEORY OF COMPUTATION.pdf
B. E,ARTIFICIAL INTELLGENCE AND MACHINE LEARNING,WINTER-2022,SIX SEMESTER,AI AND MACHINE LEARNING,/B. E/ARTIFICIAL INTELLGENCE AND MACHINE LEARNING/MAKE-UP/WINTER-2022/SIX SEMESTER/AI AND MACHINE LEARNING.pdf
B. E,ARTIFICIAL INTELLGENCE AND MACHINE LEARNING,WINTER-2022,FOURTH SEMESTER,"ARTIFICIAL INTELLIGENCE , PRINCIPLES AND TECHNIQUES","/B. E/ARTIFICIAL INTELLGENCE AND MACHINE LEARNING/MAKE-UP/WINTER-2022/FOURTH SEMESTER/ARTIFICIAL INTELLIGENCE , PRINCIPLES AND TECHNIQUES.pdf"
B. E,ARTIFICIAL INTELLGENCE AND MACHINE LEARNING,WINTER-2022,THIRD SEMESTER,BUSINESS COMMUNICATION (2),/B. E/ARTIFICIAL INTELLGENCE AND MACHINE LEARNING/MAKE-UP/WINTER-2022/THIRD SEMESTER/BUSINESS COMMUNICATION (2).pdf
B. E,ARTIFICIAL INTELLGENCE AND MACHINE LEARNING,WINTER-2022,FIFTH SEMESTER,COMPILER DESIGN,/B. E/ARTIFICIAL INTELLGENCE AND MACHINE LEARNING/MAKE-UP/WINTER-2022/FIFTH SEMESTER/COMPILER DESIGN.pdf
B. E,ARTIFICIAL INTELLGENCE AND MACHINE LEARNING,WINTER-2022,THIRD SEMESTER,COMPUTER ARCHITECTURE,/B. E/ARTIFICIAL INTELLGENCE AND MACHINE LEARNING/MAKE-UP/WINTER-2022/THIRD SEMESTER/COMPUTER ARCHITECTURE.pdf
B. E,ARTIFICIAL INTELLGENCE AND MACHINE LEARNING,WINTER-2022,FOURTH SEMESTER,COMPUTER NETWORKS,/B. E/ARTIFICIAL INTELLGENCE AND MACHINE LEARNING/MAKE-UP/WINTER-2022/FOURTH SEMESTER/COMPUTER NETWORKS.pdf
B. E,ARTIFICIAL INTELLGENCE AND MACHINE LEARNING,WINTER-2022,THIRD SEMESTER,CYBER LAWS AND ETHICS IN IT (2),/B. E/ARTIFICIAL INTELLGENCE AND MACHINE LEARNING/MAKE-UP/WINTER-2022/THIRD SEMESTER/CYBER LAWS AND ETHICS IN IT (2).pdf
B. E,ARTIFICIAL INTELLGENCE AND MACHINE LEARNING,WINTER-2022,THIRD SEMESTER,DATA STRUCTURES  DATA STRUCTURE AND ALGORITHMS,/B. E/ARTIFICIAL INTELLGENCE AND MACHINE LEARNING/MAKE-UP/WINTER-2022/THIRD SEMESTER/DATA STRUCTURES  DATA STRUCTURE AND ALGORITHMS.pdf
B. E,ARTIFICIAL INTELLGENCE AND MACHINE LEARNING,WINTER-2022,FIFTH SEMESTER,DATABASE MANAGEMENT SYSTEMS,/B. E/ARTIFICIAL INTELLGENCE AND MACHINE LEARNING/MAKE-UP/WINTER-2022/FIFTH SEMESTER/DATABASE MANAGEMENT SYSTEMS.pdf
B. E,ARTIFICIAL INTELLGENCE AND MACHINE LEARNING,WINTER-2022,FOURTH SEMESTER,DESIGN AND ANALYSIS OF ALGORITHMS.,/B. E/ARTIFICIAL INTELLGENCE AND MACHINE LEARNING/MAKE-UP/WINTER-2022/FOURTH SEMESTER/DESIGN AND ANALYSIS OF ALGORITHMS..pdf
B. E,ARTIFICIAL INTELLGENCE AND MACHINE LEARNING,WINTER-2022,FIFTH SEMESTER,MACHINE LEARNING (2),/B. E/ARTIFICIAL INTELLGENCE AND MACHINE LEARNING/MAKE-UP/WINTER-2022/FIFTH SEMESTER/MACHINE LEARNING (2).pdf
B. E,ARTIFICIAL INTELLGENCE AND MACHINE LEARNING,WINTER-2022,THIRD SEMESTER,MATHEMATICS FOR MACHINE LEARNING,/B. E/ARTIFICIAL INTELLGENCE AND MACHINE LEARNING/MAKE-UP/WINTER-2022/THIRD SEMESTER/MATHEMATICS FOR MACHINE LEARNING.pdf
B. E,ARTIFICIAL INTELLGENCE AND MACHINE LEARNING,WINTER-2022,FIFTH SEMESTER,MICROCONTROLLER DESIGN,/B. E/ARTIFICIAL INTELLGENCE AND MACHINE LEARNING/MAKE-UP/WINTER-2022/FIFTH SEMESTER/MICROCONTROLLER DESIGN.pdf
B. E,ARTIFICIAL INTELLGENCE AND MACHINE LEARNING,WINTER-2022,FOURTH SEMESTER,THEORY OF COMPUTATION,/B. E/ARTIFICIAL INTELLGENCE AND MACHINE LEARNING/MAKE-UP/WINTER-2022/FOURTH SEMESTER/THEORY OF COMPUTATION.pdf
B. E,ARTIFICIAL INTELLGENCE AND MACHINE LEARNING,WINTER-2023,Third Sem mw23,BUSINESS COMMUNICATION,/B. E/ARTIFICIAL INTELLGENCE AND MACHINE LEARNING/MAKE-UP/WINTER-2023/Third Sem mw23/BUSINESS COMMUNICATION.pdf
B. E,ARTIFICIAL INTELLGENCE AND MACHINE LEARNING,WINTER-2023,Third Sem,BUSINESS COMMUNICATION,/B. E/ARTIFICIAL INTELLGENCE AND MACHINE LEARNING/REGULAR/WINTER-2023/Third Sem/BUSINESS COMMUNICATION.pdf
B. E,ARTIFICIAL INTELLGENCE AND MACHINE LEARNING,WINTER-2023,Fifth Sem mw23,COMPILER DESIGN,/B. E/ARTIFICIAL INTELLGENCE AND MACHINE LEARNING/MAKE-UP/WINTER-2023/Fifth Sem mw23/COMPILER DESIGN.pdf
B. E,ARTIFICIAL INTELLGENCE AND MACHINE LEARNING,WINTER-2023,Fifth Sem,COMPILER DESIGN,/B. E/ARTIFICIAL INTELLGENCE AND MACHINE LEARNING/REGULAR/WINTER-2023/Fifth Sem/COMPILER DESIGN.pdf
B. E,ARTIFICIAL INTELLGENCE AND MACHINE LEARNING,WINTER-2023,Third Sem mw23,COMPUTER ARCHITECTURE,/B. E/ARTIFICIAL INTELLGENCE AND MACHINE LEARNING/MAKE-UP/WINTER-2023/Third Sem mw23/COMPUTER ARCHITECTURE.pdf
B. E,ARTIFICIAL INTELLGENCE AND MACHINE LEARNING,WINTER-2023,Third Sem mw23,CYBER LAWS AND ETHICS IN IT,/B. E/ARTIFICIAL INTELLGENCE AND MACHINE LEARNING/MAKE-UP/WINTER-2023/Third Sem mw23/CYBER LAWS AND ETHICS IN IT.pdf
B. E,ARTIFICIAL INTELLGENCE AND MACHINE LEARNING,WINTER-2023,Third Sem,CYBER LAWS AND ETHICS IN IT,/B. E/ARTIFICIAL INTELLGENCE AND MACHINE LEARNING/REGULAR/WINTER-2023/Third Sem/CYBER LAWS AND ETHICS IN IT.pdf
B. E,ARTIFICIAL INTELLGENCE AND MACHINE LEARNING,WINTER-2023,Third Sem mw23,DATA STRUCTURES  DATA STRUCTURE AND ALGORITHM,/B. E/ARTIFICIAL INTELLGENCE AND MACHINE LEARNING/MAKE-UP/WINTER-2023/Third Sem mw23/DATA STRUCTURES  DATA STRUCTURE AND ALGORITHM.pdf
B. E,ARTIFICIAL INTELLGENCE AND MACHINE LEARNING,WINTER-2023,Fifth Sem mw23,DATABASE MANAGEMENT SYSTEMS,/B. E/ARTIFICIAL INTELLGENCE AND MACHINE LEARNING/MAKE-UP/WINTER-2023/Fifth Sem mw23/DATABASE MANAGEMENT SYSTEMS.pdf
B. E,ARTIFICIAL INTELLGENCE AND MACHINE LEARNING,WINTER-2023,Fifth Sem,DATABASE MANAGEMENT SYSTEMS,/B. E/ARTIFICIAL INTELLGENCE AND MACHINE LEARNING/REGULAR/WINTER-2023/Fifth Sem/DATABASE MANAGEMENT SYSTEMS.pdf
B. E,ARTIFICIAL INTELLGENCE AND MACHINE LEARNING,WINTER-2023,Fifth Sem mw23,MACHINE LEARNING,/B. E/ARTIFICIAL INTELLGENCE AND MACHINE LEARNING/MAKE-UP/WINTER-2023/Fifth Sem mw23/MACHINE LEARNING.pdf
B. E,ARTIFICIAL INTELLGENCE AND MACHINE LEARNING,WINTER-2023,Third Sem mw23,MATHEMATICS FOR MACHINE LEARNING,/B. E/ARTIFICIAL INTELLGENCE AND MACHINE LEARNING/MAKE-UP/WINTER-2023/Third Sem mw23/MATHEMATICS FOR MACHINE LEARNING.pdf
B. E,ARTIFICIAL INTELLGENCE AND MACHINE LEARNING,WINTER-2023,Third Sem,MATHEMATICS FOR MACHINE LEARNING,/B. E/ARTIFICIAL INTELLGENCE AND MACHINE LEARNING/REGULAR/WINTER-2023/Third Sem/MATHEMATICS FOR MACHINE LEARNING.pdf
B. E,ARTIFICIAL INTELLGENCE AND MACHINE LEARNING,WINTER-2023,Fifth Sem mw23,MICROCONTROLLER DESIGN,/B. E/ARTIFICIAL INTELLGENCE AND MACHINE LEARNING/MAKE-UP/WINTER-2023/Fifth Sem mw23/MICROCONTROLLER DESIGN.pdf
B. E,ARTIFICIAL INTELLGENCE AND MACHINE LEARNING,WINTER-2023,Third Sem mw23,OPERATING SYSTEM,/B. E/ARTIFICIAL INTELLGENCE AND MACHINE LEARNING/MAKE-UP/WINTER-2023/Third Sem mw23/OPERATING SYSTEM.pdf
B. E,ARTIFICIAL INTELLGENCE AND MACHINE LEARNING,WINTER-2023,Third Sem,OPERATING SYSTEM,/B. E/ARTIFICIAL INTELLGENCE AND MACHINE LEARNING/REGULAR/WINTER-2023/Third Sem/OPERATING SYSTEM.pdf
B. E,ARTIFICIAL INTELLGENCE AND MACHINE LEARNING,WINTER-22,THIRD SEMESTER,BUSINESS COMMUNICATION,/B. E/ARTIFICIAL INTELLGENCE AND MACHINE LEARNING/REGULAR/WINTER-22/THIRD SEMESTER/BUSINESS COMMUNICATION.pdf
B. E,ARTIFICIAL INTELLGENCE AND MACHINE LEARNING,WINTER-22,THIRD SEMESTER,COMPUTER ARCHITECTURE (2),/B. E/ARTIFICIAL INTELLGENCE AND MACHINE LEARNING/REGULAR/WINTER-22/THIRD SEMESTER/COMPUTER ARCHITECTURE (2).pdf
B. E,ARTIFICIAL INTELLGENCE AND MACHINE LEARNING,WINTER-22,THIRD SEMESTER,CYBER LAWS AND ETHICS IN IT,/B. E/ARTIFICIAL INTELLGENCE AND MACHINE LEARNING/REGULAR/WINTER-22/THIRD SEMESTER/CYBER LAWS AND ETHICS IN IT.pdf
B. E,ARTIFICIAL INTELLGENCE AND MACHINE LEARNING,WINTER-22,THIRD SEMESTER,DATA STRUCTURES  DATA STRUCTURE AND ALGORITHMS (2),/B. E/ARTIFICIAL INTELLGENCE AND MACHINE LEARNING/REGULAR/WINTER-22/THIRD SEMESTER/DATA STRUCTURES  DATA STRUCTURE AND ALGORITHMS (2).pdf
